Study	Sample	Library layout	Published year	Information	Tissue	Stage	Treatment	Type	Doi
PRJNA562064	SRR10019836	pair-end	2019	C18(cold-tolerant),-2 degree celsius,control	Leaf	Seedling	Abiotic	Freeze	10.3389/fpls.2022.775692
PRJNA562064	SRR10019837	pair-end	2019	C20(cold-sensitive),2 degree celsius,control	Leaf	Seedling	Abiotic	Cold	10.3389/fpls.2022.775692
PRJNA562064	SRR10019838	pair-end	2019	C20(cold-sensitive),2 degree celsius,control	Leaf	Seedling	Abiotic	Cold	10.3389/fpls.2022.775692
PRJNA562064	SRR10019839	pair-end	2019	C20(cold-sensitive),2 degree celsius,control	Leaf	Seedling	Abiotic	Cold	10.3389/fpls.2022.775692
PRJNA562064	SRR10019840	pair-end	2019	C18(cold-tolerant),0 degree celsius,1h	Leaf	Seedling	Abiotic	Cold	10.3389/fpls.2022.775692
PRJNA562064	SRR10019841	pair-end	2019	C20(cold-sensitive),0 degree celsius,control	Leaf	Seedling	Abiotic	Cold	10.3389/fpls.2022.775692
PRJNA562064	SRR10019842	pair-end	2019	C20(cold-sensitive),0 degree celsius,control	Leaf	Seedling	Abiotic	Cold	10.3389/fpls.2022.775692
PRJNA562064	SRR10019843	pair-end	2019	C20(cold-sensitive),0 degree celsius,control	Leaf	Seedling	Abiotic	Cold	10.3389/fpls.2022.775692
PRJNA562064	SRR10019844	pair-end	2019	C20(cold-sensitive),-2 degree celsius,control	Leaf	Seedling	Abiotic	Freeze	10.3389/fpls.2022.775692
PRJNA562064	SRR10019845	pair-end	2019	C20(cold-sensitive),-2 degree celsius,control	Leaf	Seedling	Abiotic	Freeze	10.3389/fpls.2022.775692
PRJNA562064	SRR10019846	pair-end	2019	C20(cold-sensitive),-2 degree celsius,control	Leaf	Seedling	Abiotic	Freeze	10.3389/fpls.2022.775692
PRJNA562064	SRR10019847	pair-end	2019	C20(cold-sensitive),2 degree celsius,1h	Leaf	Seedling	Abiotic	Cold	10.3389/fpls.2022.775692
PRJNA562064	SRR10019848	pair-end	2019	C18(cold-tolerant),-2 degree celsius,1h	Leaf	Seedling	Abiotic	Freeze	10.3389/fpls.2022.775692
PRJNA562064	SRR10019849	pair-end	2019	C18(cold-tolerant),-2 degree celsius,1h	Leaf	Seedling	Abiotic	Freeze	10.3389/fpls.2022.775692
PRJNA562064	SRR10019850	pair-end	2019	C18(cold-tolerant),-2 degree celsius,1h	Leaf	Seedling	Abiotic	Freeze	10.3389/fpls.2022.775692
PRJNA562064	SRR10019851	pair-end	2019	C18(cold-tolerant),0 degree celsius,1h	Leaf	Seedling	Abiotic	Cold	10.3389/fpls.2022.775692
PRJNA562064	SRR10019852	pair-end	2019	C18(cold-tolerant),0 degree celsius,1h	Leaf	Seedling	Abiotic	Cold	10.3389/fpls.2022.775692
PRJNA562064	SRR10019853	pair-end	2019	C18(cold-tolerant),2 degree celsius,control	Leaf	Seedling	Abiotic	Cold	10.3389/fpls.2022.775692
PRJNA562064	SRR10019854	pair-end	2019	C18(cold-tolerant),2 degree celsius,1h	Leaf	Seedling	Abiotic	Cold	10.3389/fpls.2022.775692
PRJNA562064	SRR10019855	pair-end	2019	C18(cold-tolerant),2 degree celsius,control	Leaf	Seedling	Abiotic	Cold	10.3389/fpls.2022.775692
PRJNA562064	SRR10019856	pair-end	2019	C18(cold-tolerant),2 degree celsius,control	Leaf	Seedling	Abiotic	Cold	10.3389/fpls.2022.775692
PRJNA562064	SRR10019857	pair-end	2019	C20(cold-sensitive),-2 degree celsius,1h	Leaf	Seedling	Abiotic	Freeze	10.3389/fpls.2022.775692
PRJNA562064	SRR10019858	pair-end	2019	C20(cold-sensitive),0 degree celsius,1h	Leaf	Seedling	Abiotic	Cold	10.3389/fpls.2022.775692
PRJNA562064	SRR10019859	pair-end	2019	C20(cold-sensitive),0 degree celsius,1h	Leaf	Seedling	Abiotic	Cold	10.3389/fpls.2022.775692
PRJNA562064	SRR10019860	pair-end	2019	C20(cold-sensitive),2 degree celsius,1h	Leaf	Seedling	Abiotic	Cold	10.3389/fpls.2022.775692
PRJNA562064	SRR10019861	pair-end	2019	C20(cold-sensitive),2 degree celsius,1h	Leaf	Seedling	Abiotic	Cold	10.3389/fpls.2022.775692
PRJNA562064	SRR10019862	pair-end	2019	C18(cold-tolerant),2 degree celsius,1h	Leaf	Seedling	Abiotic	Cold	10.3389/fpls.2022.775692
PRJNA562064	SRR10019863	pair-end	2019	C18(cold-tolerant),2 degree celsius,1h	Leaf	Seedling	Abiotic	Cold	10.3389/fpls.2022.775692
PRJNA562991	SRR10090703	pair-end	2019	Westar (wild type)	Leaf	Seedling	Development	Normal	10.1186/s12870-019-2094-2
PRJNA562991	SRR10090704	pair-end	2019	Westar (wild type)	Leaf	Seedling	Development	Normal	10.1186/s12870-019-2094-2
PRJNA562991	SRR10090705	pair-end	2019	Westar (wild type)	Leaf	Seedling	Development	Normal	10.1186/s12870-019-2094-2
PRJNA562991	SRR10090706	pair-end	2019	G7 (dwarf  mutant)	Leaf	Seedling	Development	Normal	10.1186/s12870-019-2094-2
PRJNA562991	SRR10090707	pair-end	2019	G7 (dwarf  mutant)	Leaf	Seedling	Development	Normal	10.1186/s12870-019-2094-2
PRJNA562991	SRR10090708	pair-end	2019	G7 (dwarf  mutant)	Leaf	Seedling	Development	Normal	10.1186/s12870-019-2094-2
PRJNA564836	SRR10096781	pair-end	2019	C129(Winter OilSeed Rape), imbibition,0h	Seed	Germination	Development	Normal	10.3389/fpls.2019.01342
PRJNA564836	SRR10096782	pair-end	2019	C129(Winter OilSeed Rape), imbibition,2h	Seed	Germination	Abiotic	Other	10.3389/fpls.2019.01342
PRJNA564836	SRR10096783	pair-end	2019	C129(Winter OilSeed Rape), imbibition,12h	Seed	Germination	Abiotic	Other	10.3389/fpls.2019.01342
PRJNA564836	SRR10096784	pair-end	2019	C129(Winter OilSeed Rape), imbibition,36h	Seed	Germination	Abiotic	Other	10.3389/fpls.2019.01342
PRJNA564836	SRR10096785	pair-end	2019	C129(Winter OilSeed Rape), imbibition,72h	Seed	Germination	Abiotic	Other	10.3389/fpls.2019.01342
PRJNA564836	SRR10096786	pair-end	2019	C033(Winter OilSeed Rape), imbibition,0h	Seed	Germination	Development	Normal	10.3389/fpls.2019.01342
PRJNA564836	SRR10096787	pair-end	2019	C033(Winter OilSeed Rape), imbibition,2h	Seed	Germination	Abiotic	Other	10.3389/fpls.2019.01342
PRJNA564836	SRR10096788	pair-end	2019	C033(Winter OilSeed Rape), imbibition,12h	Seed	Germination	Abiotic	Other	10.3389/fpls.2019.01342
PRJNA564836	SRR10096789	pair-end	2019	C033(Winter OilSeed Rape), imbibition,36h	Seed	Germination	Abiotic	Other	10.3389/fpls.2019.01342
PRJNA564836	SRR10096790	pair-end	2019	C033(Winter OilSeed Rape), imbibition,72h	Seed	Germination	Abiotic	Other	10.3389/fpls.2019.01342
PRJNA564836	SRR10096791	pair-end	2019	C032(Winter OilSeed Rape), imbibition,0h	Seed	Germination	Development	Normal	10.3389/fpls.2019.01342
PRJNA564836	SRR10096792	pair-end	2019	C032(Winter OilSeed Rape), imbibition,2h	Seed	Germination	Abiotic	Other	10.3389/fpls.2019.01342
PRJNA564836	SRR10096793	pair-end	2019	C032(Winter OilSeed Rape), imbibition,12h	Seed	Germination	Abiotic	Other	10.3389/fpls.2019.01342
PRJNA564836	SRR10096794	pair-end	2019	C032(Winter OilSeed Rape), imbibition,36h	Seed	Germination	Abiotic	Other	10.3389/fpls.2019.01342
PRJNA564836	SRR10096795	pair-end	2019	C032(Winter OilSeed Rape), imbibition,72h	Seed	Germination	Abiotic	Other	10.3389/fpls.2019.01342
PRJNA574736	SRR10198539	pair-end	2019	Hua Shuang NO.4,S sclerotiorum,72h	Stem	Flowering	Biotic	S.sclerotiorum	10.1016/j.molp.2020.08.016
PRJNA574736	SRR10198540	pair-end	2019	Hua Shuang NO.4,S sclerotiorum,72h	Stem	Flowering	Biotic	S.sclerotiorum	10.1016/j.molp.2020.08.016
PRJNA574736	SRR10198541	pair-end	2019	Hua Shuang NO.4,S sclerotiorum,72h	Stem	Flowering	Biotic	S.sclerotiorum	10.1016/j.molp.2020.08.016
PRJNA574736	SRR10198542	pair-end	2019	Hua Shuang NO.4,control	Stem	Flowering	Development	Normal	10.1016/j.molp.2020.08.016
PRJNA574736	SRR10198543	pair-end	2019	Hua Shuang NO.4,control	Stem	Flowering	Development	Normal	10.1016/j.molp.2020.08.016
PRJNA574736	SRR10198544	pair-end	2019	Hua Shuang NO.4,control	Stem	Flowering	Development	Normal	10.1016/j.molp.2020.08.016
PRJNA230885	SRR1151409	single-end	2014	Westar,L.maculans,7days	Cotyledon	Unclear	Biotic	L.maculans	10.1186/1471-2164-15-891
PRJNA230885	SRR1151410	single-end	2014	Westar,L.maculans,7days	Cotyledon	Unclear	Biotic	L.maculans	10.1186/1471-2164-15-891
PRJNA230885	SRR1151411	single-end	2014	Westar,L.biglobosa 7days	Cotyledon	Unclear	Biotic	Other	10.1186/1471-2164-15-891
PRJNA230885	SRR1151412	single-end	2014	Westar,L.biglobosa 7days	Cotyledon	Unclear	Biotic	Other	10.1186/1471-2164-15-891
PRJNA230885	SRR1151413	single-end	2014	Westar,mock,7days	Cotyledon	Other	Development	Normal	10.1186/1471-2164-15-891
PRJNA230885	SRR1151414	single-end	2014	Westar,mock,7days	Cotyledon	Other	Development	Normal	10.1186/1471-2164-15-891
PRJNA230885	SRR1151419	single-end	2014	Westar,L.maculans,14days	Cotyledon	Unclear	Biotic	L.maculans	10.1186/1471-2164-15-891
PRJNA230885	SRR1151420	single-end	2014	Westar,L.maculans,14days	Cotyledon	Unclear	Biotic	L.maculans	10.1186/1471-2164-15-891
PRJNA230885	SRR1151423	single-end	2014	Westar,L.biglobosa 14days	Cotyledon	Unclear	Biotic	Other	10.1186/1471-2164-15-891
PRJNA230885	SRR1151424	single-end	2014	Westar,L.biglobosa 14days	Cotyledon	Unclear	Biotic	Other	10.1186/1471-2164-15-891
PRJNA230885	SRR1151425	single-end	2014	Westar,mock,14days	Cotyledon	Other	Development	Normal	10.1186/1471-2164-15-891
PRJNA230885	SRR1151429	single-end	2014	Westar,mock,14days	Cotyledon	Other	Development	Normal	10.1186/1471-2164-15-891
PRJNA237675	SRR1303407	single-end	2014	WH126,1.25% salt,24h	Root	Germination	Abiotic	Salt	10.1371/journal.pone.0116217
PRJNA237675	SRR1303543	single-end	2014	WH126,1.25% salt,12h	Root	Germination	Abiotic	Salt	10.1371/journal.pone.0116217
PRJNA237675	SRR1303544	single-end	2014	WH126,1.25% salt,3h	Root	Germination	Abiotic	Salt	10.1371/journal.pone.0116217
PRJNA237675	SRR1330250	single-end	2014	WH126,dH2O,3h	Root	Germination	Development	Normal	10.1371/journal.pone.0116217
PRJNA237675	SRR1330268	single-end	2014	WH126,dH2O,12h	Root	Germination	Development	Normal	10.1371/journal.pone.0116217
PRJNA237675	SRR1332093	single-end	2014	WH126,dH2O,24h	Root	Germination	Development	Normal	10.1371/journal.pone.0116217
PRJNA237675	SRR1332094	single-end	2014	WH126,dH2O,0h	Root	Germination	Development	Normal	10.1371/journal.pone.0116217
PRJNA237675	SRR1606303	single-end	2015	WH126,1.25% salt,12h	Root	Germination	Abiotic	Salt	10.1371/journal.pone.0116217
PRJNA262144	SRR1604973	pair-end	2015	CR3170(21 DAF flowering + 10 days in vitro)	Embryo	Other	Development	Normal	10.3389/fpls.2014.00668
PRJNA262144	SRR1604976	pair-end	2015	CR3170(21 DAF flowering + 10 days in vitro)	Embryo	Other	Development	Normal	10.3389/fpls.2014.00668
PRJNA262144	SRR1604978	pair-end	2015	CR3170(21 DAF flowering + 10 days in vitro)	Embryo	Other	Development	Normal	10.3389/fpls.2014.00668
PRJNA262144	SRR1604996	pair-end	2015	CR3170(21 DAF flowering + 10 days in vitro)	Embryo	Other	Development	Normal	10.3389/fpls.2014.00668
PRJNA262144	SRR1604998	pair-end	2015	CR3170(21 DAF flowering + 10 days in vitro)	Embryo	Other	Development	Normal	10.3389/fpls.2014.00668
PRJNA262144	SRR1605000	pair-end	2015	CR3170(21 DAF flowering + 10 days in vitro)	Embryo	Other	Development	Normal	10.3389/fpls.2014.00668
PRJNA270960	SRR1731806	pair-end	2015	07Y19(resistant to drought),200g/L PEG-6000	Seedlings	Seedling	Abiotic	Drought	10.1007/s12374-015-0113-x
PRJNA270960	SRR1732355	pair-end	2015	07Y19(resistant), control	Seedlings	Seedling	Development	Normal	10.1007/s12374-015-0113-x
PRJNA270960	SRR1732356	pair-end	2015	07Y29(sensitive to drought),200g/L PEG-6000	Seedlings	Seedling	Abiotic	Drought	10.1007/s12374-015-0113-x
PRJNA270960	SRR1732358	pair-end	2015	07Y29(sensitive to drought), control	Seedlings	Seedling	Development	Normal	10.1007/s12374-015-0113-x
PRJNA273932	SRR1778056	pair-end	2015	Athena (spring canola),control 	Leaf	Unclear	Development	Normal	10.1104/pp.15.00155
PRJNA273932	SRR1781543	pair-end	2015	Athena (spring canola),control 	Leaf	Unclear	Development	Normal	10.1104/pp.15.00155
PRJNA273932	SRR1781548	pair-end	2015	PEG1 line,5% PEG-6000	Leaf	Unclear	Abiotic	Drought	10.1104/pp.15.00155
PRJNA273932	SRR1781559	pair-end	2015	PEG1 line,5% PEG-6000	Leaf	Unclear	Abiotic	Drought	10.1104/pp.15.00155
PRJNA273932	SRR1781603	pair-end	2015	PEG2 line,5% PEG-6000	Leaf	Unclear	Abiotic	Drought	10.1104/pp.15.00155
PRJNA273932	SRR1783156	pair-end	2015	PEG2 line,5% PEG-6000	Leaf	Unclear	Abiotic	Drought	10.1104/pp.15.00155
PRJNA273932	SRR1783186	pair-end	2015	EUE ,control 	Leaf	Unclear	Development	Normal	10.1104/pp.15.00155
PRJNA273932	SRR1783187	pair-end	2015	EUE ,control 	Leaf	Unclear	Development	Normal	10.1104/pp.15.00155
PRJNA273932	SRR1783188	pair-end	2015	EUE ,control 	Leaf	Unclear	Development	Normal	10.1104/pp.15.00155
PRJNA273932	SRR1783189	pair-end	2015	Epiline(drought-tolerant),5% PEG-6000	Leaf	Unclear	Abiotic	Drought	10.1104/pp.15.00155
PRJNA273932	SRR1783190	pair-end	2015	Epiline(drought-tolerant),5% PEG-6000	Leaf	Unclear	Abiotic	Drought	10.1104/pp.15.00155
PRJNA273932	SRR1783191	pair-end	2015	Epiline(drought-tolerant),5% PEG-6000	Leaf	Unclear	Abiotic	Drought	10.1104/pp.15.00155
PRJNA274853	SRR1793815	pair-end	2016	J902(susceptible),S.sclerotiorum,24h	Stem	Flowering	Biotic	S.sclerotiorum	10.3390/cells11010037
PRJNA274853	SRR1793826	pair-end	2016	J902(susceptible),S.sclerotiorum,24h	Stem	Flowering	Biotic	S.sclerotiorum	10.3390/cells11010037
PRJNA274853	SRR1793831	pair-end	2016	J902(susceptible),S.sclerotiorum,24h	Stem	Flowering	Biotic	S.sclerotiorum	10.3390/cells11010037
PRJNA274853	SRR1793832	pair-end	2016	J902(susceptible),S.sclerotiorum,48h	Stem	Flowering	Biotic	S.sclerotiorum	10.3390/cells11010037
PRJNA274853	SRR1793833	pair-end	2016	J902(susceptible),S.sclerotiorum,48h	Stem	Flowering	Biotic	S.sclerotiorum	10.3390/cells11010037
PRJNA274853	SRR1793834	pair-end	2016	J902(susceptible),S.sclerotiorum,48h	Stem	Flowering	Biotic	S.sclerotiorum	10.3390/cells11010037
PRJNA274853	SRR1793847	pair-end	2016	J902(susceptible),S.sclerotiorum,96h	Stem	Flowering	Biotic	S.sclerotiorum	10.3390/cells11010037
PRJNA274853	SRR1793856	pair-end	2016	J902(susceptible),S.sclerotiorum,96h	Stem	Flowering	Biotic	S.sclerotiorum	10.3390/cells11010037
PRJNA274853	SRR1793857	pair-end	2016	J902(susceptible),S.sclerotiorum,96h	Stem	Flowering	Biotic	S.sclerotiorum	10.3390/cells11010037
PRJNA274853	SRR1793858	pair-end	2016	J902(susceptible) ,mock	Stem	Flowering	Development	Normal	10.3390/cells11010037
PRJNA274853	SRR1793859	pair-end	2016	J902(susceptible) ,mock	Stem	Flowering	Development	Normal	10.3390/cells11010037
PRJNA274853	SRR1793860	pair-end	2016	J902(susceptible) ,mock	Stem	Flowering	Development	Normal	10.3390/cells11010037
PRJNA274853	SRR1793863	pair-end	2016	J964(resistant),S.sclerotiorum,24h	Stem	Flowering	Biotic	S.sclerotiorum	10.3390/cells11010037
PRJNA274853	SRR1793864	pair-end	2016	J964(resistant),S.sclerotiorum,24h	Stem	Flowering	Biotic	S.sclerotiorum	10.3390/cells11010037
PRJNA274853	SRR1793865	pair-end	2016	J964(resistant),S.sclerotiorum,24h	Stem	Flowering	Biotic	S.sclerotiorum	10.3390/cells11010037
PRJNA274853	SRR1793876	pair-end	2016	J964(resistant),S.sclerotiorum,48h	Stem	Flowering	Biotic	S.sclerotiorum	10.3390/cells11010037
PRJNA274853	SRR1793908	pair-end	2016	J964(resistant),S.sclerotiorum,48h	Stem	Flowering	Biotic	S.sclerotiorum	10.3390/cells11010037
PRJNA274853	SRR1793909	pair-end	2016	J964(resistant),S.sclerotiorum,48h	Stem	Flowering	Biotic	S.sclerotiorum	10.3390/cells11010037
PRJNA274853	SRR1793911	pair-end	2016	J964(resistant),S.sclerotiorum,96h	Stem	Flowering	Biotic	S.sclerotiorum	10.3390/cells11010037
PRJNA274853	SRR1793914	pair-end	2016	J964(resistant),S.sclerotiorum,96h	Stem	Flowering	Biotic	S.sclerotiorum	10.3390/cells11010037
PRJNA274853	SRR1793916	pair-end	2016	J964(resistant),S.sclerotiorum,96h	Stem	Flowering	Biotic	S.sclerotiorum	10.3390/cells11010037
PRJNA274853	SRR1793924	pair-end	2016	J964(resistant) ,mock	Stem	Flowering	Development	Normal	10.3390/cells11010037
PRJNA274853	SRR1793925	pair-end	2016	J964(resistant) ,mock	Stem	Flowering	Development	Normal	10.3390/cells11010037
PRJNA274853	SRR1793927	pair-end	2016	J964(resistant) ,mock	Stem	Flowering	Development	Normal	10.3390/cells11010037
PRJNA278304	SRR1915969	pair-end	2015	DH12075,mock ,24hpi( hour post-inoculation),22 days	Leaf	Seedling	Development	Normal	10.1016/j.gene.2016.06.003
PRJNA278304	SRR1915970	pair-end	2015	DH12075,mock ,24hpi( hour post-inoculation),22 days	Leaf	Seedling	Development	Normal	10.1016/j.gene.2016.06.003
PRJNA278304	SRR1915971	pair-end	2015	DH12075,mock ,24hpi( hour post-inoculation),22 days	Leaf	Seedling	Development	Normal	10.1016/j.gene.2016.06.003
PRJNA278304	SRR1915972	pair-end	2015	DH12075,mock ,24hpi( hour post-inoculation),23 days	Leaf	Seedling	Development	Normal	10.1016/j.gene.2016.06.003
PRJNA278304	SRR1915977	pair-end	2015	DH12075,mock ,24hpi( hour post-inoculation),23 days	Leaf	Seedling	Development	Normal	10.1016/j.gene.2016.06.003
PRJNA278304	SRR1915978	pair-end	2015	DH12075,S.sclerotiorum ,24hpi( hour post-inoculation),22 days	Leaf	Other	Biotic	S.sclerotiorum	10.1016/j.gene.2016.06.003
PRJNA278304	SRR1915979	pair-end	2015	DH12075,S.sclerotiorum ,24hpi( hour post-inoculation),22 days	Leaf	Other	Biotic	S.sclerotiorum	10.1016/j.gene.2016.06.003
PRJNA278304	SRR1915980	pair-end	2015	DH12075,S.sclerotiorum ,24hpi( hour post-inoculation),22 days	Leaf	Other	Biotic	S.sclerotiorum	10.1016/j.gene.2016.06.003
PRJNA278304	SRR1915981	pair-end	2015	DH12075,S.sclerotiorum ,24hpi( hour post-inoculation),23 days	Leaf	Other	Biotic	S.sclerotiorum	10.1016/j.gene.2016.06.003
PRJNA278304	SRR1915982	pair-end	2015	DH12075,S.sclerotiorum ,24hpi( hour post-inoculation),23 days	Leaf	Other	Biotic	S.sclerotiorum	10.1016/j.gene.2016.06.003
PRJNA278304	SRR1915983	pair-end	2015	DH12075,S.sclerotiorum ,24hpi( hour post-inoculation),23 days	Leaf	Other	Biotic	S.sclerotiorum	10.1016/j.gene.2016.06.003
PRJNA277295	SRR1916242	pair-end	2015	Ningyou 12	Leaf	Seedling	Development 	Normal	10.1371/journal.pone.0130067
PRJNA277295	SRR2016207	pair-end	2015	Ningyou 12,25 days after pollination	Seed	Maturation	Development 	Normal	10.1371/journal.pone.0130067
PRJNA284624	SRR2036392	pair-end	2018	Cy2B(brown-seeded inbred line), 26 days after flowering	Seed	Maturation	Development 	Normal	10.1534/g3.116.027110
PRJNA284624	SRR2036393	pair-end	2018	Cy2Y(yellow-seeded near-isogenic line), 26 days after flowering	Seed	Maturation	Development 	Normal	10.1534/g3.116.027110
PRJNA285423	SRR2046992	pair-end	2015	R1,25 days after flowering	Seed	Maturation	Development 	Normal	NA
PRJNA285423	SRR2046993	pair-end	2015	R1	Silique wall	Maturation	Development 	Normal	NA
PRJNA285423	SRR2046994	pair-end	2015	zy72360,25 days after flowering	Seed	Maturation	Development 	Normal	NA
PRJNA285423	SRR2046995	pair-end	2015	zy72360	Silique wall	Maturation	Development 	Normal	NA
PRJNA293490	SRR2179614	pair-end	2018	Yuyou 27(WSLA,fertile line )	Bud	Flowering	Development 	Normal	10.1371/journal.pone.0144118
PRJNA293490	SRR2179615	pair-end	2018	Yuyou 27 (WSLB male sterile line )	Bud	Flowering	Development 	Normal	10.1371/journal.pone.0144118
PRJNA293490	SRR2192464	pair-end	2016	Yuyou 27 (WSLA male sterile line )	Bud	Flowering	Development 	Normal	10.1371/journal.pone.0144118
PRJNA293490	SRR2192489	pair-end	2016	Yuyou 27(WSLB male sterile line )	Bud	Flowering	Development 	Normal	10.1371/journal.pone.0144118
PRJNA288615	SRR2086704	single-end	2016	ZS11,100%Red light :0%Blue light,12h/12h day/night,Vegetative	Leaf	Other	Abiotic	Other	10.1631/jzus.b1700408 
PRJNA288615	SRR2924838	single-end	2016	ZS11,75%Red light :25%Blue light,12h/12h day/night,Vegetative	Leaf	Other	Abiotic	Other	10.1631/jzus.b1700408 
PRJNA288615	SRR2924839	single-end	2016	ZS11,25%Red light :75%Blue light,12h/12h day/night,Vegetative	Leaf	Other	Abiotic	Other	10.1631/jzus.b1700408 
PRJNA288615	SRR2924840	single-end	2016	ZS11,0%Red light :100%Blue light,12h/12h day/night,Vegetative	Leaf	Other	Abiotic	Other	10.1631/jzus.b1700408 
PRJNA307145	SRR3062290	pair-end	2016	 Qinyou No.7(resistant),day/night temperature at 25/20 degree celsius,0h	Leaf	Seedling	Development	Normal	10.17957/IJAB/15.0274
PRJNA307145	SRR3062291	pair-end	2016	 Qinyou No.7(resistant),day/night temperature at 15/10 degree celsius,24h	Leaf	Seedling	Abiotic	Cold	10.17957/IJAB/15.0274
PRJNA307145	SRR3062292	pair-end	2016	 Qinyou No.7(resistant),day/night temperature at 15/10 degree celsius,48h	Leaf	Seedling	Abiotic	Cold	10.17957/IJAB/15.0274
PRJNA307145	SRR3062293	pair-end	2016	 Qinyou No.7(resistant),day/night temperature at 15/10 degree celsius,96h	Leaf	Seedling	Abiotic	Cold	10.17957/IJAB/15.0274
PRJNA308274	SRR3091716	pair-end	2017	Yinggan689	Stem	Flowering	Development 	Normal	NA
PRJNA311067	SRR3147783	pair-end	2016	ZS11,2 Weeks after pollination(WAP)	Seed	Maturation	Development 	Normal	10.3389/fpls.2016.02007
PRJNA311067	SRR3147784	pair-end	2016	ZS11,4 Weeks after pollination(WAP)	Seed	Maturation	Development 	Normal	10.3389/fpls.2016.02007
PRJNA311067	SRR3147785	pair-end	2016	ZS11,6 Weeks after pollination(WAP)	Seed	Maturation	Development 	Normal	10.3389/fpls.2016.02007
PRJNA311067	SRR3147786	pair-end	2016	ZS11,8 Weeks after pollination(WAP)	Seed	Maturation	Development 	Normal	10.3389/fpls.2016.02007
PRJNA311316	SRR3157041	single-end	2016	Westar(susceptible),mock,0dpi	Cotyledon	Unclear	Development	Normal	10.1038/s41598-017-02877-9
